SerialNumber,ModelName,ProductLine,Weight,WeightClass,SellDate,ReceiveDate,InventoryDays,Cost,Revenue,Profit,ProfitMargin,ROI,RevenueQuartile,StoreID,StoreName,State,City,SaleLocation,Usage
OUNZITW9VQ,SY35,SY,35,Small,2023-05-25,2022-09-16,251.0,606.0,997.0,391.0,39.217652958876634,64.52145214521452,Q3,2,Summit Machinery,TN,Shelby,"Shelby, TN",General
NR0YVVBD8G,SY35,SY,35,Small,2023-05-23,2022-09-17,248.0,326.0,520.0,194.0,37.30769230769231,59.50920245398773,Q1,1,Atlas Equipment,NJ,Hudson,"Hudson, NJ",Civil
8PSDL56KY9,SCA335,SCA,335,Large,2023-06-09,2022-09-18,264.0,794.0,1275.0,481.0,37.72549019607843,60.579345088161205,Q4,2,Summit Machinery,MO,Jackson,"Jackson, MO",Education
RGNMXDDVRK,SY500,SY,500,Large,2023-07-10,2022-09-20,293.0,751.0,1329.0,578.0,43.4913468773514,76.96404793608522,Q4,1,Atlas Equipment,MA,Middlesex,"Middlesex, MA",General
U34LFVRI3P,SY135,SY,135,Medium,2023-06-28,2022-09-20,281.0,606.0,946.0,340.0,35.94080338266385,56.10561056105611,Q3,4,Everest Heavy Duty,IL,Cook,"Cook, IL",Construction
RG13J4DGCF,SCA35,SCA,35,Small,2023-06-18,2022-09-20,271.0,783.0,1332.0,549.0,41.21621621621622,70.11494252873564,Q4,1,Atlas Equipment,WY,Laramie,"Laramie, WY",General
YP8STJZ6AE,SCA50,SCA,50,Medium,2023-07-04,2022-09-20,287.0,783.0,965.0,182.0,18.860103626943005,23.243933588761177,Q3,3,Pioneer Industrial,GA,DeKalb,"DeKalb, GA",General
KORSNEGM8H,SY50,SY,50,Medium,2023-06-08,2022-09-20,261.0,606.0,956.0,350.0,36.61087866108787,57.755775577557756,Q3,1,Atlas Equipment,CO,Arapahoe,"Arapahoe, CO",Other
8GSMWD7PC8,SCA16,SCA,16,Small,2023-07-10,2022-09-20,293.0,884.0,1351.0,467.0,34.56698741672835,52.828054298642535,Q4,2,Summit Machinery,SC,Charleston,"Charleston, SC",General
ZEBJXLMI21,TH235,TH,235,Large,2023-07-23,2022-09-21,305.0,251.0,348.0,97.0,27.873563218390807,38.645418326693225,Q1,2,Summit Machinery,MA,Middlesex,"Middlesex, MA",General
N15O6XJ00T,SCA500,SCA,500,Large,2023-05-21,2022-09-21,242.0,794.0,1294.0,500.0,38.639876352395675,62.97229219143576,Q4,1,Atlas Equipment,CA,Butte,"Butte, CA",Construction
0Q9WOTV3MF,SY135,SY,135,Medium,2023-06-28,2022-09-22,279.0,326.0,539.0,213.0,39.51762523191095,65.33742331288343,Q1,4,Everest Heavy Duty,NJ,Hudson,"Hudson, NJ",Home
FRL2POEWJL,SY75,SY,75,Medium,2023-07-06,2022-09-22,287.0,606.0,954.0,348.0,36.477987421383645,57.42574257425742,Q3,4,Everest Heavy Duty,IN,Lake,"Lake, IN",Education
NSBWADL136,SY155,SY,155,Large,2023-06-05,2022-09-23,255.0,429.0,568.0,139.0,24.471830985915492,32.400932400932405,Q1,4,Everest Heavy Duty,WI,Waukesha,"Waukesha, WI",Other
GNLVC4TW8F,SY500,SY,500,Large,2023-07-06,2022-09-23,286.0,326.0,513.0,187.0,36.45224171539961,57.36196319018405,Q1,4,Everest Heavy Duty,OK,Tulsa,"Tulsa, OK",Construction
2KJBQAXKXY,SY335,SY,335,Large,2023-07-13,2022-09-27,289.0,822.0,1071.0,249.0,23.249299719887954,30.29197080291971,Q3,3,Pioneer Industrial,MN,Ramsey,"Ramsey, MN",Civil
ECAQ7WDXR9,SCA155,SCA,155,Large,2023-05-28,2022-09-29,241.0,674.0,965.0,291.0,30.155440414507773,43.17507418397626,Q3,4,Everest Heavy Duty,NY,Albany,"Albany, NY",Other
G0Z41QZKBR,SCA500,SCA,500,Large,2023-06-04,2022-09-29,248.0,606.0,1029.0,423.0,41.10787172011662,69.80198019801979,Q3,1,Atlas Equipment,MD,Baltimore,"Baltimore, MD",General
L17TMHHB2O,SY500,SY,500,Large,2023-07-15,2022-09-29,289.0,674.0,743.0,69.0,9.286675639300135,10.237388724035608,Q2,1,Atlas Equipment,GA,Fulton,"Fulton, GA",Education
2UG2S1POGR,TH50,TH,50,Medium,2023-06-15,2022-09-29,259.0,884.0,1500.0,616.0,41.06666666666667,69.68325791855203,Q4,1,Atlas Equipment,LA,Orleans,"Orleans, LA",Education
23LABZEHNH,SY35,SY,35,Small,2023-07-23,2022-10-02,294.0,822.0,1071.0,249.0,23.249299719887954,30.29197080291971,Q3,1,Atlas Equipment,OH,Hamilton,"Hamilton, OH",Education
GJTOGCWDNW,SCA335,SCA,335,Large,2023-07-07,2022-10-02,278.0,502.0,682.0,180.0,26.392961876832842,35.85657370517929,Q2,2,Summit Machinery,IL,Lake,"Lake, IL",Home
TXJD2FD62K,SCA155,SCA,155,Large,2023-07-13,2022-10-02,284.0,674.0,769.0,95.0,12.35370611183355,14.094955489614245,Q2,1,Atlas Equipment,IN,Lake,"Lake, IN",Home
Z54LF9SXSO,SCA75,SCA,75,Medium,2023-05-17,2022-10-02,227.0,326.0,557.0,231.0,41.4721723518851,70.85889570552148,Q1,4,Everest Heavy Duty,MA,Middlesex,"Middlesex, MA",Other
EHFTZU1T42,SCA50,SCA,50,Medium,2023-07-05,2022-10-02,276.0,502.0,675.0,173.0,25.62962962962963,34.462151394422314,Q2,2,Summit Machinery,VA,Fairfax,"Fairfax, VA",Civil
WNCELPURFG,SY235,SY,235,Large,2023-05-11,2022-10-03,220.0,956.0,1272.0,316.0,24.842767295597483,33.054393305439326,Q4,1,Atlas Equipment,CT,Fairfield,"Fairfield, CT",Other
XIPX498LT0,SY500,SY,500,Large,2023-07-19,2022-10-03,289.0,794.0,1294.0,500.0,38.639876352395675,62.97229219143576,Q4,2,Summit Machinery,CA,San Diego,"San Diego, CA",Home
4EDJKWZ4QG,SCA16,SCA,16,Small,2023-06-27,2022-10-06,264.0,956.0,1234.0,278.0,22.52836304700162,29.079497907949794,Q4,1,Atlas Equipment,OK,Oklahoma,"Oklahoma, OK",Home
V072051ESR,SCA35,SCA,35,Small,2023-06-22,2022-10-06,259.0,554.0,882.0,328.0,37.188208616780045,59.205776173285194,Q3,4,Everest Heavy Duty,NY,Albany,"Albany, NY",Education
5HN85CCBEK,SY500,SY,500,Large,2023-07-05,2022-10-07,271.0,467.0,580.0,113.0,19.482758620689655,24.197002141327623,Q1,1,Atlas Equipment,HI,Honolulu,"Honolulu, HI",Home
MXVDBFCWXH,SY16,SY,16,Small,2023-06-07,2022-10-07,243.0,604.0,903.0,299.0,33.111849390919154,49.503311258278146,Q3,5,Liberty Machines,NY,Richmond,"Richmond, NY",Home
Z9HDGJ601T,SCA50,SCA,50,Medium,2023-07-26,2022-10-07,292.0,802.0,1255.0,453.0,36.09561752988048,56.48379052369077,Q4,4,Everest Heavy Duty,TX,Harris,"Harris, TX",Civil
R3N4VF112W,SY335,SY,335,Large,2023-06-20,2022-10-10,253.0,326.0,521.0,195.0,37.42802303262956,59.8159509202454,Q1,1,Atlas Equipment,CT,Hartford,"Hartford, CT",Civil
RJ9HGMO6W8,SY135,SY,135,Medium,2023-07-28,2022-10-10,291.0,456.0,603.0,147.0,24.378109452736318,32.23684210526316,Q1,1,Atlas Equipment,MI,Washtenaw,"Washtenaw, MI",Home
6POAWXE8DT,SCA135,SCA,135,Medium,2023-07-15,2022-10-10,278.0,554.0,699.0,145.0,20.74391988555079,26.173285198555956,Q2,4,Everest Heavy Duty,AZ,Maricopa,"Maricopa, AZ",Other
2HBRUCUWGU,SY235,SY,235,Large,2023-06-15,2022-10-11,247.0,802.0,1389.0,587.0,42.26061915046797,73.19201995012469,Q4,3,Pioneer Industrial,AZ,Maricopa,"Maricopa, AZ",Civil
CEL24J7I58,SY75,SY,75,Medium,2023-06-20,2022-10-12,251.0,674.0,969.0,295.0,30.4437564499484,43.768545994065285,Q3,3,Pioneer Industrial,IN,Marion,"Marion, IN",Construction
TO16C65MPD,SCA335,SCA,335,Large,2023-07-25,2022-10-13,285.0,822.0,1076.0,254.0,23.605947955390334,30.900243309002434,Q3,4,Everest Heavy Duty,OH,Franklin,"Franklin, OH",Rental
GPEQF8V0JK,SCA16,SCA,16,Small,2023-07-25,2022-10-13,285.0,554.0,718.0,164.0,22.841225626740947,29.602888086642597,Q2,1,Atlas Equipment,UT,Salt Lake,"Salt Lake, UT",General
D85S2JVASX,SCA35,SCA,35,Small,2023-06-23,2022-10-13,253.0,751.0,1163.0,412.0,35.4256233877902,54.860186418109194,Q3,2,Summit Machinery,MI,Wayne,"Wayne, MI",General
NUMUEHAQ42,SY50,SY,50,Medium,2023-07-22,2022-10-13,282.0,467.0,546.0,79.0,14.46886446886447,16.916488222698074,Q1,1,Atlas Equipment,OH,Cuyahoga,"Cuyahoga, OH",General
01KMP6K8SG,SY16,SY,16,Small,2023-06-21,2022-10-15,249.0,554.0,649.0,95.0,14.637904468412943,17.14801444043321,Q2,4,Everest Heavy Duty,MI,Wayne,"Wayne, MI",Education
CJZ5VHL02Q,SCA500,SCA,500,Large,2023-05-13,2022-10-16,209.0,322.0,413.0,91.0,22.033898305084744,28.26086956521739,Q1,3,Pioneer Industrial,MI,Oakland,"Oakland, MI",Rental
1CXG1IBG8K,TH500,TH,500,Large,2023-07-03,2022-10-17,259.0,467.0,644.0,177.0,27.48447204968944,37.901498929336185,Q2,1,Atlas Equipment,IL,Lake,"Lake, IL",Rental
ODGWG7Y6H3,SY500,SY,500,Large,2023-07-29,2022-10-19,283.0,674.0,1015.0,341.0,33.59605911330049,50.59347181008902,Q3,1,Atlas Equipment,NY,Bronx,"Bronx, NY",General
VP8DRRIHJ6,SCA35,SCA,35,Small,2023-07-14,2022-10-19,268.0,251.0,337.0,86.0,25.519287833827892,34.26294820717131,Q1,1,Atlas Equipment,MS,Jackson,"Jackson, MS",Other
CWYSNLRSWM,SY500,SY,500,Large,2023-07-04,2022-10-19,258.0,820.0,1067.0,247.0,23.149015932521085,30.121951219512194,Q3,1,Atlas Equipment,NY,Onondaga,"Onondaga, NY",Home
FO3HQ2WHM2,SY35,SY,35,Small,2023-06-04,2022-10-20,227.0,794.0,1305.0,511.0,39.157088122605366,64.35768261964736,Q4,3,Pioneer Industrial,CA,Santa Barbara,"Santa Barbara, CA",Civil
F4J7E5NWBF,SY335,SY,335,Large,2023-06-03,2022-10-20,226.0,794.0,1388.0,594.0,42.79538904899135,74.81108312342569,Q4,3,Pioneer Industrial,NY,Bronx,"Bronx, NY",Civil
J955XRUP1Y,SY335,SY,335,Large,2023-07-25,2022-10-20,278.0,358.0,491.0,133.0,27.08757637474542,37.150837988826815,Q1,4,Everest Heavy Duty,WA,Snohomish,"Snohomish, WA",Health
ZJC90F3CXK,SY35,SY,35,Small,2023-06-24,2022-10-21,246.0,326.0,532.0,206.0,38.721804511278194,63.190184049079754,Q1,2,Summit Machinery,TX,Bexar,"Bexar, TX",Rental
LCB6RD5T1Z,TH35,TH,35,Small,2023-06-15,2022-10-22,236.0,358.0,473.0,115.0,24.312896405919663,32.122905027932966,Q1,1,Atlas Equipment,NY,Bronx,"Bronx, NY",Education
BOT2EME92S,SCA16,SCA,16,Small,2023-06-25,2022-10-22,246.0,802.0,1405.0,603.0,42.91814946619217,75.18703241895261,Q4,3,Pioneer Industrial,NV,Washoe,"Washoe, NV",Construction
D0TQXDP6OD,SCA155,SCA,155,Large,2023-06-12,2022-10-23,232.0,326.0,559.0,233.0,41.681574239713775,71.47239263803681,Q1,4,Everest Heavy Duty,NC,New Hanover,"New Hanover, NC",General
2XUT71NU1O,SY335,SY,335,Large,2023-06-26,2022-10-23,246.0,956.0,1313.0,357.0,27.189642041127186,37.34309623430963,Q4,2,Summit Machinery,FL,Duval,"Duval, FL",Civil
8FQMBB5KB6,SY16,SY,16,Small,2023-07-11,2022-10-23,261.0,794.0,1263.0,469.0,37.13380839271576,59.06801007556675,Q4,4,Everest Heavy Duty,CA,Los Angeles,"Los Angeles, CA",Home
158Y1SWHFB,SY75,SY,75,Medium,2023-07-20,2022-10-24,269.0,322.0,437.0,115.0,26.31578947368421,35.714285714285715,Q1,2,Summit Machinery,OR,Multnomah,"Multnomah, OR",General
LIEW3G3LDD,SY75,SY,75,Medium,2023-07-22,2022-10-25,270.0,326.0,509.0,183.0,35.952848722986246,56.13496932515337,Q1,2,Summit Machinery,LA,Jefferson,"Jefferson, LA",Other
LR2F6N2HH2,SCA335,SCA,335,Large,2023-06-16,2022-10-25,234.0,783.0,1380.0,597.0,43.26086956521739,76.24521072796935,Q4,2,Summit Machinery,WY,Laramie,"Laramie, WY",Home
L9GGZJ15EA,SCA35,SCA,35,Small,2023-07-28,2022-10-28,273.0,674.0,1210.0,536.0,44.29752066115702,79.52522255192879,Q4,1,Atlas Equipment,CT,New Haven,"New Haven, CT",Education
08NDGAT4BH,SCA50,SCA,50,Medium,2023-07-14,2022-10-28,259.0,802.0,1056.0,254.0,24.053030303030305,31.67082294264339,Q3,1,Atlas Equipment,OH,Cuyahoga,"Cuyahoga, OH",Education
XDYDN7G1KR,SY16,SY,16,Small,2023-07-10,2022-10-30,253.0,820.0,1104.0,284.0,25.724637681159418,34.63414634146341,Q3,1,Atlas Equipment,KS,Johnson,"Johnson, KS",Education
I1E8AXIS15,SY155,SY,155,Large,2023-07-15,2022-10-31,257.0,820.0,1098.0,278.0,25.318761384335154,33.90243902439025,Q3,3,Pioneer Industrial,CA,Los Angeles,"Los Angeles, CA",Home
KI4B9KVKBA,TH135,TH,135,Medium,2023-07-10,2022-11-02,250.0,554.0,680.0,126.0,18.529411764705884,22.743682310469314,Q2,1,Atlas Equipment,NE,Douglas,"Douglas, NE",Other
3T5OKU3BN7,SY335,SY,335,Large,2023-07-12,2022-11-03,251.0,902.0,1285.0,383.0,29.80544747081712,42.46119733924612,Q4,2,Summit Machinery,PA,Lehigh,"Lehigh, PA",Home
YBYKJVPS61,SCA16,SCA,16,Small,2023-05-18,2022-11-03,196.0,820.0,1105.0,285.0,25.791855203619914,34.756097560975604,Q3,4,Everest Heavy Duty,IN,Lake,"Lake, IN",General
UWU96AMGI2,SCA75,SCA,75,Medium,2023-05-13,2022-11-04,190.0,956.0,1260.0,304.0,24.126984126984127,31.799163179916317,Q4,1,Atlas Equipment,VA,Norfolk,"Norfolk, VA",Civil
S27B85E956,SY75,SY,75,Medium,2023-07-26,2022-11-05,263.0,502.0,647.0,145.0,22.411128284389488,28.884462151394423,Q2,2,Summit Machinery,CT,Fairfield,"Fairfield, CT",General
ET3K8UFNB4,SCA35,SCA,35,Small,2023-07-22,2022-11-06,258.0,783.0,1025.0,242.0,23.609756097560975,30.906768837803323,Q3,4,Everest Heavy Duty,AZ,Mohave,"Mohave, AZ",General
A9Y9YF7QPJ,TH16,TH,16,Small,2023-05-11,2022-11-07,185.0,322.0,437.0,115.0,26.31578947368421,35.714285714285715,Q1,1,Atlas Equipment,WA,King,"King, WA",Construction
DNVWGWH77D,SY16,SY,16,Small,2023-07-29,2022-11-08,263.0,674.0,1193.0,519.0,43.50377200335289,77.00296735905044,Q4,1,Atlas Equipment,CA,San Francisco,"San Francisco, CA",General
E25TGAYSQE,SCA155,SCA,155,Large,2023-05-31,2022-11-08,204.0,326.0,553.0,227.0,41.048824593128394,69.6319018404908,Q1,1,Atlas Equipment,TX,Bexar,"Bexar, TX",General
W97ZR6PQZL,SY50,SY,50,Medium,2023-07-24,2022-11-08,258.0,456.0,629.0,173.0,27.503974562798096,37.93859649122807,Q2,1,Atlas Equipment,IL,Kane,"Kane, IL",General
EWOQ2XJSYD,SY16,SY,16,Small,2023-05-26,2022-11-16,191.0,794.0,1393.0,599.0,43.000717875089734,75.44080604534005,Q4,4,Everest Heavy Duty,CA,Butte,"Butte, CA",Home
PWC8E2T2G4,SCA500,SCA,500,Large,2023-07-28,2022-11-16,254.0,606.0,970.0,364.0,37.52577319587629,60.066006600660074,Q3,4,Everest Heavy Duty,NJ,Hudson,"Hudson, NJ",General
ZHONTV3U8B,SCA235,SCA,235,Large,2023-07-15,2022-11-16,241.0,604.0,887.0,283.0,31.905298759864714,46.85430463576159,Q3,3,Pioneer Industrial,MD,Baltimore,"Baltimore, MD",General
JHDYDCH1QF,SY335,SY,335,Large,2023-07-19,2022-11-16,245.0,956.0,1290.0,334.0,25.891472868217054,34.93723849372385,Q4,4,Everest Heavy Duty,PA,Philadelphia,"Philadelphia, PA",Rental
EBUCLGDSHF,SY335,SY,335,Large,2023-06-07,2022-11-17,202.0,322.0,422.0,100.0,23.696682464454977,31.05590062111801,Q1,4,Everest Heavy Duty,IN,Marion,"Marion, IN",Home
Q4WSAMVZF6,SCA235,SCA,235,Large,2023-07-23,2022-11-17,248.0,251.0,345.0,94.0,27.246376811594203,37.45019920318725,Q1,1,Atlas Equipment,VA,Prince William,"Prince William, VA",Other
FISMJNW46V,SCA335,SCA,335,Large,2023-05-15,2022-11-18,178.0,322.0,426.0,104.0,24.413145539906104,32.298136645962735,Q1,4,Everest Heavy Duty,NH,Hillsborough,"Hillsborough, NH",General
Z6LSKBAS4U,SCA235,SCA,235,Large,2023-07-19,2022-11-18,243.0,502.0,658.0,156.0,23.70820668693009,31.07569721115538,Q2,2,Summit Machinery,FL,Duval,"Duval, FL",Civil
IDBCQ3E3D7,SY35,SY,35,Small,2023-05-15,2022-11-19,177.0,802.0,1043.0,241.0,23.106423777564718,30.049875311720697,Q3,4,Everest Heavy Duty,PA,Philadelphia,"Philadelphia, PA",General
IQ0W6JMJ8Z,SCA35,SCA,35,Small,2023-07-18,2022-11-19,241.0,884.0,1424.0,540.0,37.92134831460674,61.085972850678736,Q4,4,Everest Heavy Duty,MO,Jackson,"Jackson, MO",Home
LDLOHGL5RF,SY50,SY,50,Medium,2023-06-18,2022-11-20,210.0,358.0,486.0,128.0,26.337448559670783,35.754189944134076,Q1,1,Atlas Equipment,UT,Salt Lake,"Salt Lake, UT",Civil
S3OJ4ZYKKL,SCA75,SCA,75,Medium,2023-05-16,2022-11-21,176.0,956.0,1219.0,263.0,21.57506152584085,27.510460251046027,Q4,1,Atlas Equipment,UT,Salt Lake,"Salt Lake, UT",Other
F8NWS44BOI,SY35,SY,35,Small,2023-06-28,2022-11-21,219.0,604.0,814.0,210.0,25.7985257985258,34.7682119205298,Q2,1,Atlas Equipment,NY,Bronx,"Bronx, NY",Home
WOC6J4Z5VX,SCA35,SCA,35,Small,2023-05-05,2022-11-24,162.0,820.0,1047.0,227.0,21.680993314231138,27.682926829268297,Q3,2,Summit Machinery,TX,El Paso,"El Paso, TX",General
H0YCER456T,SY50,SY,50,Medium,2023-07-08,2022-11-24,226.0,502.0,659.0,157.0,23.823975720789075,31.274900398406373,Q2,4,Everest Heavy Duty,ME,Cumberland,"Cumberland, ME",Civil
SYX6MQD9DG,SY75,SY,75,Medium,2023-07-28,2022-11-24,246.0,820.0,1131.0,311.0,27.49778956675508,37.926829268292686,Q3,4,Everest Heavy Duty,NJ,Essex,"Essex, NJ",Civil
84GE4N4GL5,SY50,SY,50,Medium,2023-07-25,2022-11-24,243.0,902.0,1408.0,506.0,35.9375,56.09756097560976,Q4,1,Atlas Equipment,FL,Hillsborough,"Hillsborough, FL",Health
